"PID","STATE","COUNTY","CAND_1","CAND_2","RACETYPE","PLACENAME","race_num","cand1_change","cand2_change","cand1_cult","cand2_cult","cand1_econ","cand2_econ","vote_turnout","vote_who","ideo","party_gen","party_dem","party_rep","party_ind","party_followup","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","feedback"
"NI272vb","New York","Albany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AW486fe","Texas","Panola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BO492fa","California","Los Angeles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"XJ611pm","Ohio","Carroll",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"XS052dx","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,7,1,1,7,7,3,"Yes","Zohran Mamdani",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,35,"man","Hispanic, Latino, or Spanish origin","2yearColl","$0-$20,000",1,3,0,1,0,1,0,NA
"YS559ah","Kansas","Clay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JF870ul","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,4,4,5,5,4,4,"Yes",NA,4,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,30,"woman","Hispanic, Latino, or Spanish origin","MA","$100,001-$120,000",6,5,0,0,0,1,0,NA
"FU298si","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,7,1,1,3,1,7,"Yes","Andrew Cuomo",3,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,45,"man","White","4yearColl","$120,001-$140,000",7,4,1,1,0,0,1,NA
"ZI075ph","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,6,3,1,5,2,5,"No","Zohran Mamdani",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,25,"woman","Asian","4yearColl","$20,001-$40,000",2,4,0,0,0,1,0,NA
"ZG138us","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,7,2,1,7,2,6,"Yes","Zohran Mamdani",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,38,"woman","Black or African American","4yearColl","$20,001-$40,000",2,4,0,0,0,1,0,NA
"PE907ja","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,6,1,1,6,1,5,"Yes","Zohran Mamdani",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,25,"man","Asian","MA","$80,001-$100,000",5,5,0,1,0,1,0,NA
"NZ581ur","New York","Bronx","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,5,6,5,4,4,5,"Not sure","Andrew Cuomo",6,"Republican",NA,"Strong",NA,"Republican | Strong",1,33,"man","Black or African American","4yearColl","$40,001-$60,000",3,4,0,1,1,0,0,"had a great study"
"LZ975du","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,5,2,1,5,1,6,"Not sure","Zohran Mamdani",1,"Other party",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,25,"man","Black or African American","GED","$20,001-$40,000",2,2,0,1,0,0,0,NA
"RX266wv","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,1,1,1,7,4,2,"Yes","Zohran Mamdani",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,34,"man","White","4yearColl","$100,001-$120,000",6,4,1,1,0,1,0,NA
"IW435ts","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,7,1,1,4,2,5,"Not sure","Zohran Mamdani",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,35,"man","White","GED","$0-$20,000",1,2,1,1,0,1,0,NA
"IT122ea","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,7,2,1,6,6,3,"Yes","Zohran Mamdani",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,22,"woman","Asian","4yearColl","$120,001-$140,000",7,4,0,0,0,1,0,NA
"AB735yw","New York","Bronx","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,5,2,1,6,2,5,"Yes","Zohran Mamdani",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,31,"man","Hispanic, Latino, or Spanish origin","GED","$140,001-$160,000",8,2,0,1,0,1,0,NA
"UN566gx","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,6,2,1,5,2,7,"Yes","Zohran Mamdani",3,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,58,"man","White","4yearColl","$180,001-$200,000",10,4,1,1,0,0,1,NA
"MI567ta","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,6,1,2,3,2,4,"Yes","Zohran Mamdani",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,53,"man","White","4yearColl","$80,001-$100,000",5,4,1,1,0,1,0,NA
"LP963ai","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,6,4,1,6,1,5,"Yes","Zohran Mamdani",1,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,26,"woman","White","4yearColl","$60,001-$80,000",4,4,1,0,0,1,0,"I would vote for Sliwa before I considered Cuomo. That is how bad it is."
"NY326xi","New York","Bronx","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,5,1,2,6,2,6,"Yes","Zohran Mamdani",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,58,"man","Hispanic, Latino, or Spanish origin","GED","$140,001-$160,000",8,2,0,1,0,1,0,NA
"UV711op","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,5,3,1,7,6,2,"Yes","Zohran Mamdani",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,38,"woman","White","4yearColl","Over $200,000",11,4,1,0,0,1,0,NA
"SF720nf","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,6,1,1,7,1,7,"Yes","Zohran Mamdani",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,29,"woman","White","4yearColl","$40,001-$60,000",3,4,1,0,0,1,0,NA
